Concurso,Data Sorteio,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,Arrecadacao_Total,Ganhadores_Quina,Cidade,UF,Rateio_Quina,Ganhadores_Quadra,Rateio_Quadra,Ganhadores_Terno,Rateio_Terno,Ganhadores_Duque,Rateio_Duque,Acumulado,Valor_Acumulado,Estimativa_Premio,Valor_Acumulado_Sorteio_Especial_São_João
3397,22/01/2014,24,38,78,77,60,7.393.16925,2,UBERLÂNDIA,MG,1.322.26300,83,6.86171,6553,12415.0,0,0,NÃO,000,500.00000,50.831.15885
3398,23/01/2014,38,64,54,50,57,4.945.28850,0,&nbsp,&nbsp,000,55,6.92641,4422,12307.0,0,0,SIM,533.33397,1.100.00000,51.059.73057
3399,24/01/2014,55,75,42,23,64,5.909.67375,0,&nbsp,&nbsp,000,129,3.52901,6251,10403.0,0,0,SIM,1.170.67389,2.000.00000,51.332.87626
3400,25/01/2014,43,63,39,28,57,5.980.32825,1,GOIÂNIA,GO,1.815.63367,91,5.06248,6728,9781.0,0,0,NÃO,000,500.00000,51.609.28759
3401,27/01/2014,20,51,54,34,76,4.811.23875,0,&nbsp,&nbsp,000,57,6.50222,4063,13031.0,0,0,SIM,518.87713,1.100.00000,51.831.66350
3402,28/01/2014,29,50,65,12,18,5.603.57400,0,&nbsp,&nbsp,000,76,5.67978,5897,10457.0,0,0,SIM,1.123.20514,1.800.00000,52.090.66124
3403,29/01/2014,27,5,17,60,11,6.575.62725,1,Aracaju,SE,1.832.36606,176,2.87809,11080,6530.0,0,0,NÃO,000,500.00000,52.394.58735
3404,30/01/2014,49,31,28,78,53,4.729.44750,0,&nbsp,&nbsp,000,84,4.33721,4754,10947.0,0,0,SIM,510.05619,1.100.00000,52.613.18288
3405,31/01/2014,42,68,65,29,62,5.772.22500,0,&nbsp,&nbsp,000,86,5.17040,5775,10999.0,0,0,SIM,1.132.57268,1.800.00000,52.879.97567
3406,01/02/2014,23,41,80,44,37,6.258.40200,2,CIANORTE,PR,903.76093,92,5.24029,6759,10189.0,0,0,NÃO,000,500.00000,53.169.23962
3406,01/02/2014,23,41,80,44,37,6.258.40200,2,ITATIBA,SP,903.76093,92,5.24029,6759,10189.0,0,0,NÃO,000,500.00000,53.169.23962
3407,03/02/2014,63,55,21,16,78,4.718.68800,1,VILA VELHA,ES,508.89581,64,5.67964,4151,12509.0,0,0,NÃO,000,500.00000,53.387.33783
3408,04/02/2014,48,70,77,7,62,4.769.54775,0,&nbsp,&nbsp,000,74,4.96507,5061,10371.0,0,0,SIM,514.38087,1.100.00000,53.607.78678
3409,05/02/2014,52,24,60,33,72,5.881.57425,0,&nbsp,&nbsp,000,64,7.07935,5563,11634.0,0,0,SIM,1.148.69034,1.900.00000,53.879.63371
3410,06/02/2014,37,72,53,14,68,6.612.95925,2,ITACOATIARA,AM,930.93871,165,3.08739,7445,9774.0,0,0,NÃO,000,500.00000,54.185.28532
3410,06/02/2014,37,72,53,14,68,6.612.95925,2,RIO DO SUL,SC,930.93871,165,3.08739,7445,9774.0,0,0,NÃO,000,500.00000,54.185.28532
3411,07/02/2014,5,7,70,9,15,4.927.80825,0,&nbsp,&nbsp,000,232,1.63623,10339,5245.0,0,0,SIM,531.44878,1.100.00000,54.413.04909
3412,08/02/2014,36,59,15,40,29,5.619.41325,0,&nbsp,&nbsp,000,85,5.09274,5932,10424.0,0,0,SIM,1.137.48500,1.800.00000,54.672.77891
3413,10/02/2014,22,2,61,38,78,5.777.73900,0,&nbsp,&nbsp,000,72,6.18166,5058,12570.0,0,0,SIM,1.760.59616,2.500.00000,54.939.82655
3414,11/02/2014,18,6,59,11,31,7.020.31875,0,&nbsp,&nbsp,000,119,4.54454,8208,9412.0,0,0,SIM,2.517.71569,3.300.00000,55.264.30636
3415,12/02/2014,59,58,48,22,14,8.152.17300,1,BRASÍLIA,DF,3.396.90217,128,4.90618,7812,11483.0,0,0,NÃO,000,500.00000,55.641.10058
3416,13/02/2014,3,68,77,20,63,4.650.01050,0,&nbsp,&nbsp,000,53,6.75862,4255,12026.0,0,0,SIM,501.48915,1.100.00000,55.856.02452
3417,14/02/2014,49,12,16,46,77,5.713.72200,1,ADAMANTINA,SP,1.117.69628,110,4.00134,7002,8980.0,0,0,NÃO,000,500.00000,56.120.11330
3418,15/02/2014,67,53,72,59,75,4.890.51825,1,SÃO PAULO,SP,527.42716,99,3.80539,5188,10373.0,0,0,NÃO,000,500.00000,56.346.15353
3419,17/02/2014,78,24,3,66,50,4.489.75050,0,&nbsp,&nbsp,000,59,5.86206,4122,11986.0,0,0,SIM,484.20561,1.100.00000,56.553.67023
3420,18/02/2014,30,11,28,5,63,5.391.42450,0,&nbsp,&nbsp,000,152,2.73237,7535,7874.0,0,0,SIM,1.065.65396,1.700.00000,56.802.86239
3421,19/02/2014,34,53,49,20,78,6.101.30700,1,VIAMÃO,RS,1.723.66092,79,5.94943,6165,10891.0,0,0,NÃO,000,500.00000,57.084.86538
3422,20/02/2014,40,53,12,34,5,4.497.65250,0,&nbsp,&nbsp,000,103,3.36378,6045,8187.0,0,0,SIM,485.05782,1.000.00000,57.292.74731
3423,21/02/2014,56,10,32,34,63,5.683.06425,0,&nbsp,&nbsp,000,117,3.74176,7128,8773.0,0,0,SIM,1.097.95861,1.800.00000,57.555.41909
3424,22/02/2014,26,36,73,42,37,6.217.67850,0,&nbsp,&nbsp,000,87,5.50540,6249,10949.0,0,0,SIM,1.768.51588,2.500.00000,57.842.80079
3425,24/02/2014,35,7,63,17,45,6.789.43425,1,Aracaju,SE,2.500.73523,166,3.15068,9884,7559.0,0,0,NÃO,000,500.00000,58.156.60910
3426,25/02/2014,27,29,73,26,62,4.704.54375,2,GOIÂNIA,GO,253.68520,70,5.17725,5188,9979.0,0,0,NÃO,000,500.00000,58.374.05356
3426,25/02/2014,27,29,73,26,62,4.704.54375,2,GOIÂNIA,GO,253.68520,70,5.17725,5188,9979.0,0,0,NÃO,000,500.00000,58.374.05356
3427,26/02/2014,38,33,73,76,79,4.960.93575,0,&nbsp,&nbsp,000,101,3.78374,5472,9976.0,0,0,SIM,535.02148,1.100.00000,58.603.34848
3428,27/02/2014,66,9,24,10,59,5.702.89125,0,&nbsp,&nbsp,000,119,3.69171,6920,9069.0,0,0,SIM,1.150.06055,2.000.00000,58.866.93666
3429,28/02/2014,55,75,28,38,18,6.773.58225,3,FEIRA DA MATA,BA,626.85677,131,3.98315,7335,10162.0,0,0,NÃO,000,500.00000,59.180.01229
3429,28/02/2014,55,75,28,38,18,6.773.58225,3,MALHADA DE PEDRAS,BA,626.85677,131,3.98315,7335,10162.0,0,0,NÃO,000,500.00000,59.180.01229
3429,28/02/2014,55,75,28,38,18,6.773.58225,3,ESPINOSA,MG,626.85677,131,3.98315,7335,10162.0,0,0,NÃO,000,500.00000,59.180.01229
3430,01/03/2014,58,34,6,14,51,4.568.69400,0,&nbsp,&nbsp,000,82,4.29198,5272,9536.0,0,0,SIM,492.71943,1.000.00000,59.391.17777
3431,05/03/2014,57,7,35,14,25,5.225.52150,0,&nbsp,&nbsp,000,144,2.79542,9804,5865.0,0,0,SIM,1.056.27565,1.600.00000,59.632.70187
3432,06/03/2014,73,58,42,76,62,6.256.29675,0,&nbsp,&nbsp,000,72,6.69367,5905,11659.0,0,0,SIM,1.730.99778,2.500.00000,59.921.86851
3433,07/03/2014,3,72,24,21,74,7.006.37550,1,OSASCO,SP,2.486.61356,97,5.56419,6981,11044.0,0,0,NÃO,000,500.00000,60.245.70385
3434,08/03/2014,54,69,45,33,49,4.988.70900,0,&nbsp,&nbsp,000,92,4.17715,5901,9303.0,0,0,NÃO,000,1.100.00000,60.476.28246
3435,10/03/2014,29,56,78,42,7,5.229.42975,0,&nbsp,&nbsp,000,133,3.02888,6348,9065.0,0,0,SIM,1.101.99445,1.700.00000,60.717.98721
3436,11/03/2014,40,32,61,79,25,6.443.65425,0,&nbsp,&nbsp,000,61,8.13733,4833,14672.0,0,0,SIM,1.796.92250,2.500.00000,61.015.81352
3437,12/03/2014,24,27,28,16,23,7.638.97650,1,VITÓRIA,ES,2.620.76234,253,2.32592,11679,7197.0,0,0,NÃO,000,500.00000,61.368.88775
3438,13/03/2014,56,76,66,48,64,5.045.51325,2,BRASÍLIA,DF,272.07145,82,4.73992,5187,10704.0,0,0,NÃO,000,500.00000,61.602.09186
3438,13/03/2014,56,76,66,48,64,5.045.51325,2,PORTO ALEGRE,RS,272.07145,82,4.73992,5187,10704.0,0,0,NÃO,000,500.00000,61.602.09186
3439,14/03/2014,15,3,25,47,35,5.097.48600,1,SÃO JOSÉ DOS CAMPOS,SP,549.74799,169,2.32354,9941,5642.0,0,0,NÃO,000,500.00000,61.837.69815
3440,15/03/2014,67,79,24,4,38,5.018.99850,0,&nbsp,&nbsp,000,90,4.29590,5945,9290.0,0,0,SIM,541.28336,1.000.00000,62.069.67674
3441,17/03/2014,24,23,30,64,55,5.485.82850,0,&nbsp,&nbsp,000,72,5.86934,5459,11058.0,0,0,SIM,1.132.91288,1.800.00000,62.323.23227
3442,18/03/2014,8,25,47,6,22,6.438.47400,0,&nbsp,&nbsp,000,216,2.29619,10809,6555.0,0,0,SIM,1.827.28226,2.600.00000,62.620.81915
3443,19/03/2014,30,10,69,55,38,7.270.38225,0,&nbsp,&nbsp,000,92,6.08764,6986,11452.0,0,0,SIM,2.611.37035,3.500.00000,62.956.85693
3444,20/03/2014,60,64,68,53,56,8.206.92525,1,UBERLÂNDIA,MG,3.496.46170,126,5.01753,7487,12062.0,0,0,NÃO,000,500.00000,63.336.18179
3445,21/03/2014,55,54,50,11,59,4.880.56425,0,&nbsp,&nbsp,000,86,4.37171,5422,9905.0,0,0,SIM,526.35366,1.100.00000,63.561.76195
3446,22/03/2014,52,1,59,77,32,5.791.40475,0,&nbsp,&nbsp,000,57,7.82688,4757,13397.0,0,0,SIM,1.150.93863,1.700.00000,63.829.44123
3447,24/03/2014,11,5,79,40,12,6.149.06775,0,&nbsp,&nbsp,000,103,4.59888,8317,8136.0,0,0,SIM,1.814.09645,2.500.00000,64.113.65173
3448,25/03/2014,80,35,44,2,12,7.123.23600,0,&nbsp,&nbsp,000,123,4.46120,8200,9559.0,0,0,SIM,2.582.31528,3.500.00000,64.442.88838
3449,26/03/2014,56,73,24,44,36,8.183.18100,1,CAJAMAR,SP,3.464.84588,181,3.48276,10175,8850.0,0,0,NÃO,000,500.00000,64.821.11579
3450,27/03/2014,43,66,22,37,18,4.678.19850,2,ITABUNA,BA,252.26457,113,3.18918,5442,9460.0,0,0,NÃO,000,500.00000,65.037.34257
3450,27/03/2014,43,66,22,37,18,4.678.19850,2,Curitiba,PR,252.26457,113,3.18918,5442,9460.0,0,0,NÃO,000,500.00000,65.037.34257
3451,28/03/2014,40,66,78,70,72,4.858.30650,0,&nbsp,&nbsp,000,55,6.80459,3622,14761.0,0,0,SIM,523.95323,1.200.00000,65.261.89397
3452,29/03/2014,5,4,48,45,75,5.667.83550,0,&nbsp,&nbsp,000,188,2.32241,9683,6441.0,0,0,SIM,1.135.21164,1.800.00000,65.523.86188
3453,31/03/2014,63,1,11,76,46,6.254.28300,0,&nbsp,&nbsp,000,91,5.29439,5721,12030.0,0,0,SIM,1.809.71659,2.500.00000,65.812.93544
3454,01/04/2014,73,8,23,7,45,7.164.99600,0,&nbsp,&nbsp,000,188,2.93587,10281,7669.0,0,0,SIM,2.582.43911,3.500.00000,66.144.10224
3455,02/04/2014,40,26,39,48,53,8.248.23150,1,CAXIAS DO SUL,RS,3.471.98520,116,5.47750,8793,10322.0,0,0,NÃO,000,500.00000,66.525.33629
3456,03/04/2014,36,17,75,8,33,4.823.04750,1,SÃO MIGUEL DO OESTE,SC,520.15066,105,3.53844,6827,7774.0,0,0,NÃO,000,500.00000,66.748.25802
3457,04/04/2014,11,27,13,29,70,5.063.83275,1,UBERABA,MG,546.11860,127,3.07153,8064,6910.0,0,0,NÃO,000,500.00000,66.982.30886
3458,05/04/2014,71,77,24,10,52,5.023.32900,0,&nbsp,&nbsp,000,107,3.61649,6211,8900.0,0,0,SIM,541.75040,1.200.00000,67.214.48760
3459,07/04/2014,65,77,43,15,18,5.419.58250,1,ALMENARA,MG,1.126.23549,113,3.69460,6225,9580.0,0,0,NÃO,000,500.00000,67.464.98123
3460,08/04/2014,56,45,8,39,57,4.697.75025,0,&nbsp,&nbsp,000,77,4.69980,5583,9259.0,0,0,SIM,506.63774,1.100.00000,67.682.11170
3461,09/04/2014,11,14,44,34,31,5.959.05375,1,PORTO SEGURO,BA,1.149.30313,145,3.16584,7858,8345.0,0,0,NÃO,000,500.00000,67.957.53974
3462,10/04/2014,43,71,9,48,21,4.848.89550,0,&nbsp,&nbsp,000,51,7.32407,4799,11119.0,0,0,SIM,522.93829,1.100.00000,68.181.65616
3463,11/04/2014,35,7,76,74,58,5.821.49925,1,BELO HORIZONTE,MG,1.150.76885,117,3.83291,7162,8945.0,0,0,NÃO,000,500.00000,68.450.72641
3464,12/04/2014,12,59,66,13,18,4.913.67300,0,&nbsp,&nbsp,000,89,4.25301,6667,8110.0,0,0,SIM,529.92434,1.100.00000,68.677.83685
3465,14/04/2014,72,56,8,7,77,5.405.84475,0,&nbsp,&nbsp,000,84,4.95752,6623,8982.0,0,0,SIM,1.112.92786,1.800.00000,68.927.69551
3466,15/04/2014,73,17,74,64,2,6.089.40000,0,&nbsp,&nbsp,000,56,8.37657,5766,11622.0,0,0,SIM,1.769.65069,2.500.00000,69.209.14816
3467,16/04/2014,59,29,52,77,43,6.954.15225,1,BOM JARDIM DE MINAS,MG,2.519.63437,95,5.63897,7617,10047.0,0,0,NÃO,000,500.00000,69.530.56974
3468,17/04/2014,72,3,9,15,50,4.523.99925,0,&nbsp,&nbsp,000,91,3.82966,6168,8071.0,0,0,SIM,487.89923,1.000.00000,69.739.66942
3469,19/04/2014,15,36,63,52,51,4.494.50700,0,&nbsp,&nbsp,000,80,4.32785,4471,11062.0,0,0,SIM,972.61782,1.500.00000,69.947.40596
3470,22/04/2014,56,78,21,12,16,5.667.45225,1,SÃO PAULO,SP,1.583.83490,96,4.54775,7007,8900.0,0,0,NÃO,000,500.00000,70.209.35614
3471,23/04/2014,52,42,15,40,43,4.384.45050,0,&nbsp,&nbsp,000,56,6.03124,4812,10027.0,0,0,SIM,472.84934,1.100.00000,70.412.00586
3472,24/04/2014,7,73,38,66,57,5.564.32200,1,Curitiba,PR,1.072.94414,79,5.42582,5694,10754.0,0,0,NÃO,000,500.00000,70.669.18936
3473,25/04/2014,3,49,28,73,70,4.738.39800,0,&nbsp,&nbsp,000,47,7.76629,4112,12681.0,0,0,SIM,511.02147,1.100.00000,70.888.19856
3474,26/04/2014,37,50,42,52,9,5.572.05225,0,&nbsp,&nbsp,000,75,5.72313,5189,11817.0,0,0,SIM,1.111.94996,1.800.00000,71.145.73935
3475,28/04/2014,24,74,65,77,9,6.020.54775,1,RECIFE,PE,1.761.24729,83,5.58775,6571,10082.0,0,0,NÃO,000,500.00000,71.424.00965
3476,29/04/2014,72,78,25,10,64,4.440.45375,1,ARAGUAÍNA,TO,478.88911,122,2.80380,5669,8619.0,0,0,NÃO,000,500.00000,71.629.24785
3477,30/04/2014,56,60,19,70,51,4.874.97675,0,&nbsp,&nbsp,000,43,8.73341,3996,13425.0,0,0,SIM,525.75106,1.100.00000,71.854.56975
3478,02/05/2014,50,78,65,49,14,5.898.79275,1,COCALZINHO DE GOIAS,GO,1.161.91750,90,5.04894,5558,11679.0,0,0,NÃO,000,500.00000,72.127.21252
3479,03/05/2014,3,1,56,13,27,4.948.23750,2,EXTREMA,MG,266.82600,216,1.76473,11494,4737.0,0,0,NÃO,000,500.00000,72.355.92054
3479,03/05/2014,3,1,56,13,27,4.948.23750,2,UBERLÂNDIA,MG,266.82600,216,1.76473,11494,4737.0,0,0,NÃO,000,500.00000,72.355.92054
3480,05/05/2014,2,7,78,53,16,4.643.91450,0,&nbsp,&nbsp,000,79,4.52832,6060,8433.0,0,0,SIM,500.83172,1.100.00000,72.570.56271
3481,06/05/2014,68,61,52,18,11,5.804.91900,0,&nbsp,&nbsp,000,91,4.91399,5342,11958.0,0,0,SIM,1.126.87416,2.000.00000,72.838.86662
3482,07/05/2014,72,4,23,37,25,6.845.32275,0,&nbsp,&nbsp,000,134,3.93522,9423,7994.0,0,0,SIM,1.865.12091,3.000.00000,73.155.25809
3483,08/05/2014,39,55,19,79,17,7.595.96175,0,&nbsp,&nbsp,000,129,4.53600,9468,8828.0,0,0,SIM,2.684.32174,3.500.00000,73.506.34417
3484,09/05/2014,15,61,24,65,66,8.415.39975,1,SÃO PAULO,SP,3.591.89641,125,5.18614,7428,12467.0,0,0,NÃO,000,500.00000,73.895.30475
3485,10/05/2014,43,27,16,23,50,4.709.36625,0,&nbsp,&nbsp,000,85,4.26799,6003,8633.0,0,0,SIM,507.89049,1.100.00000,74.112.97211
3486,12/05/2014,53,46,76,7,9,6.093.15400,0,&nbsp,&nbsp,000,89,5.27390,5673,11819.0,0,0,SIM,1.165.01818,2.000.00000,74.394.59827
3487,13/05/2014,8,4,41,76,79,7.124.57200,1,CAXIAS DO SUL,RS,1.933.38109,73,7.51823,5406,14503.0,0,0,NÃO,000,500.00000,74.723.89667
3488,14/05/2014,10,36,1,46,80,5.398.81100,8,BRASÍLIA,DF,72.78062,957,62082,10877,5462.0,0,0,NÃO,000,500.00000,74.973.43023
3488,14/05/2014,10,36,1,46,80,5.398.81100,8,CAMPO GRANDE,MS,72.78062,957,62082,10877,5462.0,0,0,NÃO,000,500.00000,74.973.43023
3488,14/05/2014,10,36,1,46,80,5.398.81100,8,RECIFE,PE,72.78062,957,62082,10877,5462.0,0,0,NÃO,000,500.00000,74.973.43023
3488,14/05/2014,10,36,1,46,80,5.398.81100,8,RECIFE,PE,72.78062,957,62082,10877,5462.0,0,0,NÃO,000,500.00000,74.973.43023
3488,14/05/2014,10,36,1,46,80,5.398.81100,8,TAIÓ,SC,72.78062,957,62082,10877,5462.0,0,0,NÃO,000,500.00000,74.973.43023
3488,14/05/2014,10,36,1,46,80,5.398.81100,8,TAIÓ,SC,72.78062,957,62082,10877,5462.0,0,0,NÃO,000,500.00000,74.973.43023
3488,14/05/2014,10,36,1,46,80,5.398.81100,8,OSASCO,SP,72.78062,957,62082,10877,5462.0,0,0,NÃO,000,500.00000,74.973.43023
3488,14/05/2014,10,36,1,46,80,5.398.81100,8,SÃO PAULO,SP,72.78062,957,62082,10877,5462.0,0,0,NÃO,000,500.00000,74.973.43023
3489,15/05/2014,61,2,1,7,23,5.053.97300,2,SANTA MARIA DE ITABIRA,MG,272.52762,76,5.12270,6388,8706.0,0,0,NÃO,000,500.00000,75.207.02535
3489,15/05/2014,61,2,1,7,23,5.053.97300,2,LIMEIRA,SP,272.52762,76,5.12270,6388,8706.0,0,0,NÃO,000,500.00000,75.207.02535
3490,16/05/2014,69,28,54,25,35,5.232.35000,0,&nbsp,&nbsp,000,53,7.60502,4645,12396.0,0,0,SIM,564.29266,1.200.00000,75.448.86508
3491,17/05/2014,9,55,32,54,75,6.030.26300,0,&nbsp,&nbsp,000,65,7.14665,4959,13382.0,0,0,SIM,1.214.63774,1.900.00000,75.727.58441
3492,19/05/2014,60,65,77,52,1,6.634.66000,0,&nbsp,&nbsp,000,74,6.90664,4319,16905.0,0,0,SIM,1.930.16516,2.700.00000,76.034.23904
3493,20/05/2014,17,55,39,27,1,7.682.02800,0,&nbsp,&nbsp,000,95,6.22919,7818,10813.0,0,0,SIM,2.758.64797,3.500.00000,76.389.30311
3494,21/05/2014,58,68,1,73,51,9.163.55000,0,&nbsp,&nbsp,000,48,14.70626,5067,19901.0,0,0,SIM,3.746.90832,5.000.00000,76.812.84326
3495,22/05/2014,16,15,4,44,33,10.100.21900,1,VASSOURAS,RJ,4.836.18551,235,3.31087,12574,8839.0,0,0,NÃO,000,500.00000,77.279.67635
3496,23/05/2014,78,64,4,46,27,5.035.10400,0,&nbsp,&nbsp,000,118,3.28705,5521,10036.0,0,0,SIM,543.02029,1.000.00000,77.512.39935
3497,24/05/2014,4,64,61,23,10,5.816.16600,0,&nbsp,&nbsp,000,82,5.46390,5738,11154.0,0,0,SIM,1.170.27568,1.900.00000,77.781.22310
3498,26/05/2014,51,36,41,66,77,6.732.51600,0,&nbsp,&nbsp,000,49,10.58427,4255,17412.0,0,0,SIM,1.896.35657,3.000.00000,78.092.40065
3499,27/05/2014,64,11,21,26,29,7.727.73300,0,&nbsp,&nbsp,000,82,7.25969,6533,13017.0,0,0,SIM,2.729.76852,3.600.00000,78.449.57720
3500,28/05/2014,30,25,66,13,5,8.796.39100,1,Sorocaba,SP,3.678.43192,163,4.15716,10442,9270.0,0,0,NÃO,000,500.00000,78.856.14723
3501,29/05/2014,23,65,43,36,26,4.919.86800,0,&nbsp,&nbsp,000,83,4.56620,4817,11239.0,0,0,SIM,530.59244,1.100.00000,79.083.54401
3502,30/05/2014,1,33,26,57,58,6.116.32500,1,RIO DE JANEIRO,RJ,1.190.21906,79,5.96407,5553,12121.0,0,0,NÃO,000,500.00000,79.366.24113
3503,31/05/2014,68,62,22,53,70,5.307.03000,0,&nbsp,&nbsp,000,38,10.75840,3193,18290.0,0,0,SIM,572.34667,1.200.00000,79.611.53256
3504,02/06/2014,7,4,69,42,50,6.255.50600,1,GUARUJÁ,SP,1.246.98352,75,6.42512,5211,13210.0,0,0,NÃO,000,500.00000,79.900.66265
3505,03/06/2014,24,61,62,72,53,4.971.06800,0,&nbsp,&nbsp,000,59,6.49049,3587,15251.0,0,0,SIM,536.11421,1.200.00000,80.130.42589
3506,04/06/2014,71,41,73,80,32,6.395.14200,1,CONTAGEM,MG,1.225.81037,40,12.31600,4105,17144.0,0,0,NÃO,000,500.00000,80.426.00996
3507,05/06/2014,30,19,45,43,17,5.062.74000,0,&nbsp,&nbsp,000,74,5.27028,5296,10520.0,0,0,SIM,546.00075,1.200.00000,80.660.01029
3508,06/06/2014,17,2,12,31,28,6.035.14200,1,MANAUS,AM,1.196.87202,123,3.77974,7398,8977.0,0,0,NÃO,000,500.00000,80.938.95514
3509,07/06/2014,19,34,18,78,32,5.308.08500,1,BAURU,SP,572.46044,70,5.84143,4607,12679.0,0,0,NÃO,000,500.00000,81.184.29534
3510,09/06/2014,10,23,48,66,69,4.695.39100,1,MEDINA,MG,506.38330,56,6.45897,4234,12204.0,0,0,NÃO,000,500.00000,81.401.31676
3511,10/06/2014,21,6,48,31,26,4.814.18100,0,&nbsp,&nbsp,000,56,6.62238,3966,13358.0,0,0,SIM,519.19443,1.100.00000,81.623.82868
3512,11/06/2014,2,18,64,51,65,6.246.48600,0,&nbsp,&nbsp,000,38,12.66286,4069,16893.0,0,0,SIM,1.192.85850,2.000.00000,81.912.54186
3513,12/06/2014,25,56,41,22,58,4.922.62500,0,&nbsp,&nbsp,000,50,7.58414,3883,13951.0,0,0,SIM,1.723.74828,2.200.00000,82.140.06605
3514,13/06/2014,19,13,70,51,18,6.872.95400,1,BARRACÃO,PR,2.464.97497,80,6.61810,6861,11023.0,0,0,NÃO,000,500.00000,82.457.73464
3515,14/06/2014,1,60,73,61,66,5.208.52200,0,&nbsp,&nbsp,000,54,7.43020,3139,18260.0,0,0,SIM,561.72289,1.100.00000,82.698.47304
3516,16/06/2014,44,5,77,67,53,5.813.51500,0,&nbsp,&nbsp,000,77,5.81605,5685,11253.0,0,0,SIM,84.155.86664,100.000.00000,84.155.86664
3517,24/06/2014,15,79,71,55,26,133.337.81700,7,CONTAGEM,MG,14.956.97460,1227,8.37121,78476,18698.0,0,0,NÃO,000,500.00000,000
3517,24/06/2014,15,79,71,55,26,133.337.81700,7,RIBAS DO RIO PARDO,MS,14.956.97460,1227,8.37121,78476,18698.0,0,0,NÃO,000,500.00000,000
3517,24/06/2014,15,79,71,55,26,133.337.81700,7,QUEIMADOS,RJ,14.956.97460,1227,8.37121,78476,18698.0,0,0,NÃO,000,500.00000,000
3517,24/06/2014,15,79,71,55,26,133.337.81700,7,RIBEIRÃO PRETO,SP,14.956.97460,1227,8.37121,78476,18698.0,0,0,NÃO,000,500.00000,000
3517,24/06/2014,15,79,71,55,26,133.337.81700,7,SÃO PAULO,SP,14.956.97460,1227,8.37121,78476,18698.0,0,0,NÃO,000,500.00000,000
3517,24/06/2014,15,79,71,55,26,133.337.81700,7,SÃO PAULO,SP,14.956.97460,1227,8.37121,78476,18698.0,0,0,NÃO,000,500.00000,000
3517,24/06/2014,15,79,71,55,26,133.337.81700,7,SÃO PAULO,SP,14.956.97460,1227,8.37121,78476,18698.0,0,0,NÃO,000,500.00000,000
3518,25/06/2014,56,80,25,27,16,4.299.69300,2,CAPIM GROSSO,BA,231.85425,686,68975,4613,10257.0,0,0,NÃO,000,500.00000,198.73223
3518,25/06/2014,56,80,25,27,16,4.299.69300,2,CRATEUS,CE,231.85425,686,68975,4613,10257.0,0,0,NÃO,000,500.00000,198.73223
3519,26/06/2014,64,39,72,50,46,4.757.75200,0,&nbsp,&nbsp,000,36,10.18073,3125,16754.0,0,0,SIM,513.10874,1.100.00000,418.63598
3520,27/06/2014,47,4,59,79,21,5.692.47400,0,&nbsp,&nbsp,000,55,7.97293,4436,14121.0,0,0,SIM,1.127.02434,1.800.00000,681.74268
3521,28/06/2014,52,41,71,58,21,4.625.66300,0,&nbsp,&nbsp,000,31,11.49455,2638,19296.0,0,0,SIM,1.625.88769,2.200.00000,895.54127
3522,30/06/2014,40,47,50,1,62,7.291.58800,0,&nbsp,&nbsp,000,49,11.46320,4167,19256.0,0,0,SIM,2.412.26275,3.300.00000,1.232.55916
3523,01/07/2014,60,72,5,70,19,9.156.69400,0,&nbsp,&nbsp,000,82,8.60210,7425,13571.0,0,0,SIM,3.399.78370,4.500.00000,1.655.78243
3524,02/07/2014,10,36,76,72,33,10.876.66900,0,&nbsp,&nbsp,000,170,4.92863,8958,13361.0,0,0,SIM,4.572.79861,5.700.00000,2.158.50312
3525,03/07/2014,61,4,12,25,1,12.921.82200,1,SÃO JOSÉ DOS CAMPOS,SP,5.966.37690,233,4.27216,13941,10200.0,0,0,NÃO,000,450.00000,2.755.75097
3526,04/07/2014,33,66,40,74,56,4.009.11600,0,&nbsp,&nbsp,000,30,10.29454,2689,16407.0,0,0,SIM,432.37068,1.000.00000,2.941.05270
3527,05/07/2014,59,50,17,66,77,6.227.04300,0,&nbsp,&nbsp,000,64,7.49517,4684,14630.0,0,0,SIM,1.103.93788,1.800.00000,3.228.86722
3528,07/07/2014,12,2,59,46,27,6.980.28700,0,&nbsp,&nbsp,000,123,4.37167,7434,10333.0,0,0,SIM,1.856.74011,2.700.00000,3.551.49676
3529,08/07/2014,14,6,35,61,18,6.575.96000,0,&nbsp,&nbsp,000,93,5.44698,5963,12136.0,0,0,SIM,2.565.93692,3.300.00000,3.855.43826
3530,09/07/2014,3,12,13,18,2,6.724.92700,4,ITABIRA,MG,822.79984,347,1.49292,12508,5916.0,0,0,NÃO,000,500.00000,4.166.26503
3530,09/07/2014,3,12,13,18,2,6.724.92700,4,CÁCERES,MT,822.79984,347,1.49292,12508,5916.0,0,0,NÃO,000,500.00000,4.166.26503
3530,09/07/2014,3,12,13,18,2,6.724.92700,4,RECIFE,PE,822.79984,347,1.49292,12508,5916.0,0,0,NÃO,000,500.00000,4.166.26503
3530,09/07/2014,3,12,13,18,2,6.724.92700,4,URUGUAIANA,RS,822.79984,347,1.49292,12508,5916.0,0,0,NÃO,000,500.00000,4.166.26503
3531,10/07/2014,9,67,50,46,79,5.413.31600,0,&nbsp,&nbsp,000,43,9.69783,4046,14723.0,0,0,SIM,583.80928,1.200.00000,4.416.46901
